gids,downloaded
0021200241,0
0021400007,0
0021400311,0
0021300204,0
0021800079,0
0021200950,0
0021700330,0
0021300462,0
0021201019,0
0021500307,0
0021200866,0
0021200287,0
0021500532,0
0021200675,0
0021401227,0
0021300243,0
0021500003,0
0021301174,0
0021700239,0
0021701144,0
0021700143,0
0021400409,0
0021800552,0
0021500767,0
0021400871,0
0021700598,0
0021400755,0
0021500545,0
0021200837,0
0021400107,0
0021701230,0
0021700951,0
0021301036,0
0021700380,0
0021700622,0
0021700108,0
0021700847,0
0021701142,0
0021800804,0
0021500447,0
0021401189,0
0021300802,0
0021500765,0
0021201165,0
0021700123,0
0021400857,0
0021200828,0
0021200568,0
0021301144,0
0021700888,0
0021200767,0
0021300763,0
0021300919,0
0021300181,0
0021500854,0
0021800141,0
0021200008,0
0021800893,0
0021801144,0
0021201080,0
0021800945,0
0021700394,0
0021300326,0
0021801196,0
0021700092,0
0021700495,0
0021500730,0
0021500777,0
0021700945,0
0021700102,0
0021300096,0
0021500968,0
0021500279,0
0021800319,0
0021400255,0
0021500303,0
0021500363,0
0021501209,0
0021500845,0
0021400364,0
0021300502,0
0021700160,0
0021500107,0
0021300191,0
0021500173,0
0021801040,0
0021800380,0
0021401182,0
0021500257,0
0021700099,0
0021800715,0
0021200299,0
0021500235,0
0021501011,0
0021400485,0
0021300934,0
0021200677,0
0021200587,0
0021200327,0
0021700717,0
0021400403,0
0021500781,0
0021700085,0
0021400273,0
0021200713,0
0021700271,0
0021300519,0
0021800536,0
0021300689,0
0021201009,0
0021300770,0
0021300935,0
0021500763,0
0021400914,0
0021400876,0
0021400280,0
0021201028,0
0021400580,0
0021300711,0
0021700191,0
0021500733,0
0021500751,0
0021801115,0
0021500703,0
0021301001,0
0021800279,0
0021800340,0
0021700401,0
0021300884,0
0021500996,0
0021301182,0
0021300690,0
0021200749,0
0021500790,0
0021500806,0
0021300504,0
0021700087,0
0021400424,0
0021200474,0
0021700141,0
0021400537,0
0021500926,0
0021701212,0
0021200456,0
0021800180,0
0021500157,0
0021200476,0
0021700924,0
0021801036,0
0021301225,0
0021200695,0
0021200448,0
0021501177,0
0021200040,0
0021300923,0
0021801128,0
0021800052,0
0021400666,0
0021200212,0
0021200209,0
0021201190,0
0021501008,0
0021300724,0
0021800670,0
0021200256,0
0021801088,0
0021500054,0
0021700967,0
0021801102,0
0021500970,0
0021400150,0
0021200348,0
0021201180,0
0021500553,0
0021400674,0
0021700851,0
0021500040,0
0021400244,0
0021701216,0
0021500943,0
0021800002,0
0021500975,0
