game_season,date_game,age,team_id,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,g,home_game,win,pts_per_36,trb_per_36,tov_per_12
1.0,2018-10-17,29-052,HOU,NOP,L (-19),1.0,34.7,6.0,15.0,0.4,3.0,8.0,0.375,3.0,4.0,0.75,2.0,7.0,9.0,10.0,3.0,1.0,4.0,2.0,18.0,18.9,-23.0,1,1,0,18.7,9.3,1.4
2.0,2018-10-20,29-055,HOU,LAL,W (+9),1.0,37.8,10.0,19.0,0.526,5.0,10.0,0.5,11.0,15.0,0.733,1.0,6.0,7.0,5.0,2.0,1.0,6.0,2.0,36.0,27.0,-3.0,1,0,1,34.3,6.7,1.9
3.0,2018-10-21,29-056,HOU,LAC,L (-3),1.0,39.8,11.0,26.0,0.423,4.0,12.0,0.33299999999999996,5.0,6.0,0.833,0.0,4.0,4.0,14.0,2.0,0.0,3.0,1.0,31.0,26.4,5.0,1,0,0,28.0,3.6,0.9
4.0,2018-10-24,29-059,HOU,UTA,L (-11),1.0,31.6,10.0,19.0,0.526,3.0,4.0,0.75,6.0,9.0,0.667,1.0,4.0,5.0,7.0,1.0,0.0,7.0,4.0,29.0,17.7,-5.0,1,1,0,33.0,5.7,2.7
,2018-10-26,29-061,HOU,LAC,L (-20),,0.0,,,,,,,,,,,,,,,,,,,,,0,1,0,0.0,0.0,0.0
,2018-10-30,29-065,HOU,POR,L (-19),,0.0,,,,,,,,,,,,,,,,,,,,,0,1,0,0.0,0.0,0.0
,2018-11-02,29-068,HOU,BRK,W (+8),,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0.0,0.0,0.0
5.0,2018-11-03,29-069,HOU,CHI,W (+8),1.0,33.3,7.0,17.0,0.41200000000000003,5.0,12.0,0.41700000000000004,6.0,8.0,0.75,0.0,1.0,1.0,7.0,4.0,0.0,8.0,3.0,25.0,15.1,9.0,1,0,1,27.0,1.1,2.9
6.0,2018-11-05,29-071,HOU,IND,W (+4),1.0,35.1,7.0,15.0,0.467,5.0,12.0,0.41700000000000004,9.0,9.0,1.0,0.0,4.0,4.0,6.0,3.0,1.0,5.0,5.0,28.0,22.4,6.0,1,0,1,28.7,4.1,1.7
7.0,2018-11-08,29-074,HOU,OKC,L (-18),1.0,37.5,7.0,19.0,0.368,4.0,12.0,0.33299999999999996,1.0,3.0,0.33299999999999996,1.0,7.0,8.0,5.0,2.0,1.0,5.0,3.0,19.0,10.5,-13.0,1,0,0,18.2,7.7,1.6
